respid,statements
135,I saw videos through friends and neighbors
136,Because it is what I heard and it was reality
137,"Because they were videos that I came to know through friends, acquaintances or neighbors"
138,"Because if I were in North Korea, I would have consumed it a lot"
139,Because I saw reality
140,Because you have to share with family to be safe
141,"Because there is no choice of information in North Korea, so I wanted to hear any information if possible"
142,Habit
143,Because the difference between other countries and North Korea is so big (because North Korea's standards of living are low)
144,Because it was similar to my expereince
145,Foreign mobile phone. South Korean video viewing.
146,Trust of family
147,Hope that North Korean regime collapses as soon as possible
148,Option 1 was closest to me
149,I was young back then so I didn't know how to buy contents
150,Curiosity
151,
152,"Easy to store, easy to disbelieve, and feared hurting family so viewed alone"
153,Because you leave behind suspicion with each other
154,Relevant
155,Family relatives
156,"Because if you show it to others, word can easily get around"
157,To allow information between North and South to be known
158,Free South Korean life
159,"Because there are many falsehoods, I gave a low preference score"
160,Because my preference was high
161,Fashion
162,"When I was in North Korea, I watched videos and music through video or usb"
163,Want to know and curious
164,Because it's safe
165,"I think that secrets are well kept between family, friends and people close"
166,Option preferred because it is safe
167,Because I have used it and traded it
168,Because of curiousity
169,Because it's fun
170,Prefer to inform about the economic level of North and South Korea
171,Choosing neighbors or people you don't know can be dangerous
172,More than anything because North Korean broadcasting is dull
173,"I chose it because life itself in North Korea isn't enjoyable, "
174,"Because South Korean media is the most popular among the young, and is watched through friends or acquaintances"
175,Because it is a bridge to unification
176,The last time
177,Close to fact
178,Because I could experience things I couldn't see or hear in North Korea
179,Because family protect secrets
180,Because it's swapped among friends
181,Because it just seemed close to me
182,Preferring a free world from dictatorship
183,To inform about lies and truth
184,"Because I had a friend it was possible, so I chose it"
185,Because it was non-fiction
186,Because foreign films are fun
187,"Because media are a way to access outside information. When I was young, I watched and listened to a lot of South Korean and other foreign films and music. It is because I believe that they will have a lot of influence, so I recommend them."
188,"If you are caught consuming South Korean media in North Korea, even your family will be sent to a political prison camp. But foreign media are not only widely circulated among people in secret, but are highly prized."
189,"Cannot trust anyone except family, no one."
190,Because you can trust family. You cannot trust anyone else.
191,Means/media
192,"I think it's the best way to inform North Korean people who are bound to South Korean dramas, films, songs and the like, about the world. They may seem to simply be dramas or songs, but such media can have a big influence on North Korean people."
193,Hope for unification with North Korea
194,Because I know it well
195,Experience
196,Because they were South Korean and foreign dramas
197,Because I like watching
198,Because its easy to access
199,Because it becomes widespread generally
200,"When I viewed the contents I felt that if there were life as different as sky and earth, I want North Koreans to experience that kind of life"
201,Cannot trust even your parents. But it seems that family and friends can be trusted
202,Can trust your own judgment
203,To inform North Koreans more
204,You should watch South Korean dramas or songs at friends or family homes on a dvd to avoid further trouble
205,If you acquire from people you know and can share quietly with your family
206,Longing for family or friends
207,Because I wanted to share with other people
208,Chose similar content to the environment
209,Curiosity
210,I watched because I had a lot of interest in foreign films
211,"All media can be exchanged through friends or family, and usbs are easy to hide when caught, so they are very safe."
212,"In North Korea, electronic devices aren’t common so they’re novel, but devices like mp3s are good for listening to music, and are getting popular, so they are obviously preferred."
213,Because it is interesting
214,Because it was relevant to me
215,Because I could quickly come to South Korea
216,Because it was useful
217,Friend
218,That was my thought
219,Curious about South Korea and had too many fantasies about South Korea
220,"Was an error, my mobile data was working, so it repeated and caused an error"
221,Curiosity
222,Because those people find out about South Korea from videos sold on markets and their family and friends can also find out
223,Because the content of the options was similar to when I was in North Korea
224,Because it is fun
225,Because new information and culture from other countries flies
226,"You cannot trust people you don't know ro neighbors, and you can only communicate with and trust friends and family"
227,Because I trust my closest friend and family
228,Because foreign content is far more fun than North Korean content
229,I chose in accordance with my actual experience when in North Korea
230,"Because if you don't know, you do not have freedom"
231,Because they are family and relatives
232,"Because smartphones and computers are sometimes inspected by the state, so they are unlikely to be used. Also North Korean material is fake in many ways, so it raises many doubts."
233,"No other reason, I came into contact with it naturally"
234,Because friends and acquaintances all had it
235,South Korea is the same nation and respect it
236,I shared because it felt real and because it was fun
237,Because family and friends seemed closest
238,Because curious about developments in the North
239,Because it was good
240,"People you don't know aren't preferred. If family and relatives are preferred, then it can be bad for them. So I chose friends."
241,Level of trust varies
242,"You can share at home better than outside, and rather than specifically about South Korea, I watched films from a range of countries including the US and Japan"
243,Curious about the realities of North Korea
244,Direct experience
245,"Because it was fun, and could come into contact with other country's standards of filming and the appearance of development"
246,Because it had aspects similar to me so I chose it
247,"Because at a young age you accept more quickly accept the unusual than when you're old, and it's dangerous because of the Ministry of State Security, so watching at home with family is safer than watching outside i"
248,Through media you can learn about realities beyond North Korea
249,Close to fact
250,Because they are contents you cannot find in North Korea
251,Because same as fact
252,Sharing information with friends was safest
253,"At the time, CD players were more widely used than usbs"
254,want to inform North Korea
255,Use
256,Because I thought of people thinking in North Korea
257,South Korean films are strongly favored in North Korea
258,Because secrets can be kept only by close people
259,Curious about the situation now North Korea
260,The option had the most. House-family relatives-related to different nationality-usb-book
261,Because it was very close to what I directly experienced in North Korea
262,Because most tablets and phones are not produced domestically
263,Acquire video from close people
264,Personally think
265,"Foreign information is closed off, so always interested"
266,Because of curiousity
267,Have experience and share
268,My thought
269,No reason. Chose naturally
270,Curiosity about South Korea
271,I needed this to get by
272,Curiosity and because interesting
273,"In North Korea, people who haven't seen South Korean dramas aren't on the same page as their friends, so they seek them out"
274,Want to help North Korea research
275,Because it hurts family and relatives
276,Because in isolation you become very curious about the outside world and want to share and communicate by any means available
277,"South Korean publications, videos are shared with special acquaintances, family and relatives"
278,I trusted in other countries
279,Like South Korea
280,Because North Korean people also have a right to see
281,Interesting and fun
282,Prefer South Korea-related products and South Korean dramas films songs have more popularity than North Korean media
283,Curiosity
284,Wanted to know about the outside world and curiosity
285,"Because at the time, I was in high school, and as a young person I wanted to come into contact with new things"
286,"I do not know South Korea well, but I watched video and chose it for that reason."
287,They were the things I like
288,Because you cannot share
289,Want to help with North Korea research
290,"South Korean dramas and film are known in North Korea as impure video content, their distribution is a crime and if you share with anyone and get caught, you have to go to prison"
291,usb
292,"You can trust your family or friends, but if you share viewing material with people you don't know or neighbors, as Korean dramas go past 40 episodes you spend ten years in prison"
293,"I chose what was realistic at North Korea's current standard of living, and took the view that it is more needed by the young than the old"
294,Because it was correct
295,Curiosity
296,Because it was the correct answer
297,Because it was closest to reality
298,"First, North Korean movies say you must work for the Party and the leader, but South Korean movies say that you can succeed if you work hard, regardless of your identity. Second, the plots of North Korean films are just that if you follow the Party and the leader, al will be well, but South Korean movie plots show how the truth wins, or real-life stories about how specific characters come together to and create strong groups."
299,Because you can't trust people
300,Because friends family are safe
301,Curiosity
302,Curiosity about capitalism
303,I bought it myself and watched.
304,Because you need to know about overseas to some extent!!
305,"Because I thought that despite severe control and surveillance there were contradictions, and we each need to know about the world"
306,Because of videos from neighbors and friends
307,Because South Korea is good
308,Because South Korea is so good
309,"Curiosity, new information"
310,"South Korean or overseas videos actively favored. But I wouldn't buy from family, known acquaintances, family and relatives, or watch with them. I also didn’t share with friends acquaintances family relatives. Because if the authorities found out, its labor camp."
311,Sharing information with family to guarantee security
312,"I traded in electronics including usbs and cds. I had many opportunities to encounter it, and after watching it with family, I would delete and sell. The reason being that I had sold to an acquaintance and seen them suffer. So I decided to only with family."
313,"Because of deep relations with neighbors, friends, and family"
